Period,Repo rate,Corp Mortgage Flex rate balance,Corp Mortgage Fixed rate balance,Corp flex%,Corp fix%,Corp Mortgage Flex rate,Corp Mortgage Fix rate,HH Mortgage Flex rate balance,HH Mortgage Fix rate Balance,HH flex%,HH fix%,HH Mortgage Flex rate,HH Mortgage Fix rate,HH New Mortgage Flex balance,HH New Mortgage Fix balance,HH new flex%,HH New Mortgage Flex rate,HH New Mortgage Fix rate
13-Aug,5,199369.4806,50956.648,79.64389563,20.35610437,7.36,9.15,730721.3674,16570.07599,97.78264877,2.217351227,7.68,10.38,None,None,None,None,None
13-Sep,5,201630.3544,51931.05539,79.51933796,20.48066204,7.33,8.91,760549.9943,15738.92377,97.97254303,2.027456969,7.69,10.3,None,None,None,None,None
13-Oct,5,202716.4955,51961.31784,79.59723419,20.40276581,7.36,9,735349.3542,15707.92079,97.90855887,2.091441134,7.71,10.3,None,None,None,None,None
13-Nov,5,203285.5712,51292.77221,79.85187133,20.14812867,7.34,8.94,736067.265,15384.99193,97.95263215,2.047367851,7.74,10.33,None,None,None,None,None
13-Dec,5,203224.4251,51943.79804,79.6433124,20.3566876,7.32,8.84,736953.1069,15432.76092,97.94882366,2.051176342,7.71,10.29,None,None,None,None,None
14-Jan,5.5,202875.7925,51346.03093,79.80266594,20.19733406,7.64,8.89,738362.2582,15285.48009,97.97180044,2.028199557,7.98,10.31,2438.812,0.016,99.99934395,8.43,8.5
14-Feb,5.5,205260.5854,51861.99426,79.82985612,20.17014388,7.64,8.5,744346.225,15099.15295,98.01181844,1.988181558,8.17,10.37,2926.237,60.221,97.98353099,8.47,11.49
14-Mar,5.5,209461.4422,52191.08785,80.05328371,19.94671629,7.68,9.05,741895.1802,14675.36662,98.06027783,1.939722169,8.26,10.29,3117.249,0,100,8.5,0
14-Apr,5.5,210223.9829,53968.60086,79.57224987,20.42775013,7.66,9.15,744357.4479,14744.22245,98.05767488,1.942325123,8.24,10.28,2731.657,60.552,97.83139443,8.45,9.3
14-May,5.5,213033.1125,54302.04229,79.68765375,20.31234625,7.68,9.16,744676.5845,14622.61526,98.07419588,1.925804119,8.3,10.29,3213.764,0.02,99.99937768,8.45,10.35
14-Jun,5.5,214074.1294,55629.43404,79.3738602,20.6261398,7.68,9.12,745492.0757,14577.7783,98.08204756,1.917952438,8.3,10.26,3143.916,22.949,99.27534012,8.41,10.79
14-Jul,5.75,215236.595,55941.85345,79.37083357,20.62916643,7.87,9.05,747404.0619,14428.48636,98.10608166,1.893918341,8.51,10.24,3646.697,2.271,99.93776323,8.71,10.17
14-Aug,5.75,218591.757,53697.44346,80.27926067,19.72073933,7.88,9.18,752085.3178,24618.21768,96.83042286,3.169577136,8.58,10.24,3703.341,10593.396,25.9034002,8.66,6
14-Sep,5.75,220334.9321,54057.27628,80.29926703,19.70073297,7.81,9.19,753835.9951,13848.87271,98.19602114,1.803978858,8.58,10.24,3451.284,0,100,8.58,0
14-Oct,5.75,221394.1474,56727.25191,79.60342065,20.39657935,7.8,9.27,759381.0038,13481.11538,98.25568946,1.744310536,8.59,10.23,3438.189,70.788,97.9826599,8.74,10.89
14-Nov,5.75,222961.3562,57394.97125,79.52784881,20.47215119,7.82,9.13,760523.3055,13485.41223,98.2577183,1.742281698,8.6,10.23,3265.971,95.664,97.15424191,8.79,10.6
14-Dec,5.75,226805.1774,58158.00041,79.59104721,20.40895279,7.82,9.08,762101.6713,13257.13354,98.29019372,1.70980628,8.65,10.25,0,0,DivZero,8.79,0
15-Jan,5.75,227048.7879,58088.65315,79.6278409,20.3721591,7.82,9.08,763839.702,13012.66761,98.32494974,1.675050257,8.59,10.27,1977.344,0.004,99.99979771,8.82,10.87
15-Feb,5.75,227594.3175,59569.86562,79.25581631,20.74418369,7.84,9.1,769027.7379,12851.79763,98.35629441,1.643705589,8.64,10.29,3617.648,0.003,99.99991707,8.68,9.25
15-Mar,5.75,233329.5201,59509.21264,79.67850356,20.32149644,7.84,9.1,768960.5544,12739.95655,98.37022538,1.629774622,8.63,10.28,3462.546,0.022,99.99936463,8.86,9.35
15-Apr,5.75,232876.8717,60621.15282,79.34529443,20.65470557,7.84,9.09,772697.7915,12669.22724,98.38683992,1.613160082,8.68,10.32,0,0,DivZero,8.81,11.99
15-May,5.75,234761.2938,60799.85301,79.42901032,20.57098968,7.84,9.07,774922.651,12593.51967,98.40085574,1.599144264,8.66,10.33,0,0,DivZero,8.88,12.61
15-Jun,5.75,237775.5609,60751.35591,79.64962203,20.35037797,7.86,9.05,777208.099,12328.15437,98.43855753,1.561442469,8.67,10.35,5866.527,2.321,99.9604522,8.68,8.1
15-Jul,6,241500.2666,61047.53153,79.82218614,20.17781386,8.08,9.05,778993.8517,12153.51319,98.46381171,1.536188292,8.86,10.4,4102.37,0,100,9.12,0
15-Aug,6,244666.5831,60783.36921,80.10038347,19.89961653,8.12,9.09,782785.4436,12050.38633,98.48391506,1.516084942,8.93,10.46,5225.552,0,100,8.78,0
15-Sep,6,250459.0945,62597.48604,80.00441775,19.99558225,8.12,9.13,786414.7829,12048.3031,98.49106323,1.50893677,8.84,10.45,6904.735,2.171,99.96856769,8.74,9.46
15-Oct,6,251427.9385,62751.04793,80.02697487,19.97302513,8.14,9.13,788669.3105,11978.74203,98.50386921,1.49613079,8.95,10.47,5871.503,3.574,99.93916675,8.76,8.6
15-Nov,6.25,253882.3849,61901.02764,80.39763167,19.60236833,8.35,9.13,794704.0392,12024.04788,98.50952904,1.490470962,9.16,10.48,5477.98,12.84,99.76615515,9.2,10.39
15-Dec,6.25,255860.8222,63961.23846,80.00099232,19.99900768,8.39,9.1,795184.0133,10421.81231,98.70633851,1.293661488,9.21,10.38,7165.349,29.976,99.58339616,9.23,12.69
16-Jan,6.75,256110.1411,63888.5654,80.03474261,19.96525739,8.82,9.13,788320.698,19850.05961,97.54382853,2.456171474,9.48,10.83,2465.362,0,100,9.7,0
16-Feb,6.75,261026.9796,63877.23911,80.33967076,19.66032924,8.85,9.26,804256.434,10567.58152,98.70308419,1.296915815,9.72,10.48,5675.588,93.377,98.38139077,9.66,9.98
16-Mar,7,262739.9246,65436.96222,80.06045981,19.93954019,9.06,9.35,804365.7498,10749.99244,98.68116982,1.318830184,9.93,10.43,6241.44,93.68,98.52125927,9.94,9.99
16-Apr,7,264813.596,67277.9855,79.7411349,20.2588651,9.1,9.43,804878.2667,10858.50511,98.66887144,1.331128555,10.03,10.56,4318.65,0.5,99.98842365,10.05,11.73
16-May,7,268067.8328,66399.1246,80.14777749,19.85222251,9.13,9.63,807042.2928,10941.58789,98.66237121,1.337628791,9.98,10.57,4250.09,0.9,99.97882846,10.09,11.06
16-Jun,7,269559.0848,69354.90261,79.53613448,20.46386552,9.09,9.66,809049.3249,10975.35197,98.66158272,1.338417279,10.01,10.6,4815.26,17.1,99.64613564,10.13,11.71
16-Jul,7,269407.3953,69015.65625,79.60669171,20.39330829,9.1,9.54,813104.7747,11012.3919,98.66373468,1.336265321,10.02,10.46,5255.554734,245.86,95.53096773,10.1,10.9
16-Aug,7,271842.479,68679.43032,79.83112733,20.16887267,9.06,9.68,817175.9844,11300.49382,98.63599099,1.364009012,10.04,10.65,5935.821249,11.829,99.80111473,10.13,10.13
16-Sep,7,278334.1194,69936.425,79.9189377,20.0810623,9.1,9.72,818934.0644,11321.14657,98.63642571,1.363574287,10.04,10.68,7336.163241,60.159,99.1866363,10.05,11.4
16-Oct,7,279683.8162,69507.62082,80.09469493,19.90530507,9.09,9.82,817457.2897,11283.65344,98.63845831,1.361541689,10.05,10.67,4023.471966,14.725,99.63535706,10.05,10.52
16-Nov,7,283554.9206,69323.38914,80.35487384,19.64512616,9.08,9.82,822199.3157,11282.11414,98.64638686,1.353613138,10.06,10.69,3786.808057,24.372,99.36051303,10.14,10.53
16-Dec,7,284439.19,71858.25239,79.8319483,20.1680517,9.05,9.71,824399.8104,11311.65204,98.64646441,1.353535585,10.06,10.71,3127.837982,57.561,98.19297362,10.15,11.37
17-Jan,7,282726.7357,71226.77366,79.8767997,20.1232003,9.06,9.77,824349.9513,11215.06135,98.6577871,1.342212895,10.07,10.71,2452.940856,4.906,99.8003944,10,9.75
17-Feb,7,284624.5135,69735.83469,80.32064393,19.67935607,9.07,9.79,830118.3897,11729.44956,98.60670195,1.393298054,10.08,10.7,5204.211344,564.485,90.21468688,10.14,9.88
17-Mar,7,286274.7156,70941.42766,80.14047545,19.85952455,9.06,9.75,828469.7463,11665.44353,98.61148019,1.388519809,10.08,10.7,4109.906843,10.902,99.73544029,9.98,10.8
17-Apr,7,286037.9622,70758.72703,80.16833419,19.83166581,9.06,9.76,830954.3951,11796.16922,98.60027751,1.399722494,10.24,10.76,4198.282831,19.851,99.52938904,10.11,10.32
17-May,7,285762.6274,74542.9471,79.31118684,20.68881316,9.06,9.73,834137.4502,12125.01114,98.56722805,1.432771947,10.1,10.81,4568.532992,299.379,93.84995044,9.98,12.45
17-Jun,7,287321.5219,77367.28951,78.78539536,21.21460464,9.05,9.67,836583.9186,12546.24828,98.52245877,1.477541226,10.1,10.85,5581.462773,18.097,99.67681388,9.94,10.5
17-Jul,6.75,288996.0194,77840.52169,78.78059763,21.21940237,8.87,9.64,838577.5254,13145.91011,98.45655179,1.543448209,9.96,10.87,5517.025695,10.654,99.8072609,9.89,10.3
17-Aug,6.75,294242.5158,77477.6854,79.1569882,20.8430118,8.87,9.61,841326.2045,12624.13691,98.52167787,1.478322134,9.9,10.85,4767.989811,14.444,99.69797805,9.87,10.47
17-Sep,6.75,297835.9901,77912.00704,79.2648244,20.7351756,8.88,9.54,843123.0004,12899.49748,98.49308896,1.506911035,9.92,10.63,5767.897751,4.788,99.91705767,9.9,10.47
17-Oct,6.75,300442.2635,77052.26643,79.58850783,20.41149217,8.89,9.52,846643.4253,12785.13441,98.51236798,1.487632016,9.91,10.63,6170.949249,8.328,99.86522696,9.95,10.61
17-Nov,6.75,302851.518,76542.30896,79.82510428,20.17489572,8.85,9.83,850076.1657,12859.47251,98.50979935,1.490200652,9.92,10.63,5589.933346,50.99,99.09606997,9.91,10.24
17-Dec,6.75,303233.5815,73737.10923,80.43956439,19.56043561,8.88,9.87,851440.9028,12361.07034,98.56899258,1.431007421,9.89,10.9,5534.546515,39.566,99.29018297,10.16,10.88
18-Jan,6.75,302265.6097,75231.36874,80.07100108,19.92899892,8.92,9.62,853328.2651,12971.25874,98.502682,1.497318005,9.89,10.89,4998.391898,771.886,86.62307061,10.09,11.06
18-Feb,6.75,305316.7425,73325.48249,80.63462613,19.36537387,8.94,9.78,858364.0364,12849.41801,98.52511254,1.474887462,9.93,10.87,5381.700146,535.516,90.94986584,10.12,9.6
18-Mar,6.5,306424.0336,76750.38377,79.96985699,20.03014301,8.74,9.56,859883.8414,12414.54905,98.57680019,1.423199812,9.77,10.87,5407.726956,13.734,99.74667345,9.93,9.29
18-Apr,6.5,307890.9104,77026.57002,79.98880957,20.01119043,8.79,9.53,861510.9104,12648.82439,98.55303054,1.44696946,9.7,10.88,5416.667902,142.199,97.44194271,9.85,10.66
18-May,6.5,310580.3831,75999.35136,80.34057541,19.65942459,8.84,9.45,864708.594,12460.98017,98.57941035,1.420589648,9.7,10.89,5987.58234,8.534,99.85767454,9.92,10.65
18-Jun,6.5,311612.6341,75928.96929,80.4075308,19.5924692,8.87,9.43,869131.2918,12319.08039,98.60240794,1.397592057,9.71,10.88,5975.578804,12.561,99.79023536,10.02,10.22
18-Jul,6.5,311240.5485,76592.13066,80.2512437,19.7487563,8.86,9.47,871530.4977,12011.92028,98.64048177,1.359518235,9.71,10.89,6471.597666,4.554,99.92968046,9.94,10.15
18-Aug,6.5,312256.9876,73926.26242,80.85720641,19.14279359,8.86,9.5,873825.7156,11963.43709,98.64940352,1.350596477,9.72,10.88,6908.314118,5.721,99.91725527,9.96,9.27
18-Sep,6.5,316641.3445,72527.72221,81.36344113,18.63655887,8.88,9.52,876276.57,11907.48681,98.65934468,1.34065532,9.72,10.91,5856.985834,8.983,99.84686247,9.96,10.14
18-Oct,6.5,316429.3524,72162.33537,81.42977896,18.57022104,8.85,9.51,880526.9496,11845.65095,98.67256671,1.327433288,9.72,10.9,6662.048281,18.4,99.72456938,9.93,9.98
18-Nov,6.75,318906.0898,72324.3831,81.51361202,18.48638798,9.08,9.55,885068.7945,11778.34867,98.68669385,1.313306148,9.87,10.91,7150.679811,34.687,99.51725499,10.06,10.38
18-Dec,6.75,321196.2499,72925.11861,81.49678641,18.50321359,9.1,9.56,880929.8233,11871.90239,98.6702644,1.3297356,9.86,10.91,5851.247408,8.596,99.85330666,10.21,9.39
19-Jan,6.75,319928.5028,72557.16897,81.51342222,18.48657778,9.09,9.57,888228.4984,11621.98863,98.70845337,1.291546629,9.99,10.9,5888.075088,6.415,99.89116955,10.23,9.97
19-Feb,6.75,320355.8325,72148.32595,81.61845565,18.38154435,9.12,9.59,894316.2836,11513.57805,98.72894695,1.271053046,10.01,10.92,6559.383733,10.69,99.83729254,10.19,9.72
19-Mar,6.75,323021.6571,73126.37034,81.5406451,18.4593549,9.12,9.58,895386.077,11432.15377,98.73931143,1.260688569,10.02,10.9,6787.696719,5.659,99.91669802,10.22,9.56
19-Apr,6.75,324346.1886,73064.66571,81.61482886,18.38517114,9.1,9.29,896321.0299,11397.95142,98.74433039,1.255669613,10.01,10.88,6600.371553,7.25,99.89027822,10.29,9.88
19-May,6.75,327427.3785,72978.82843,81.77380191,18.22619809,9.09,9.25,900352.854,11344.76692,98.75564369,1.244356315,10.02,10.88,6866.788089,6.715,99.902306,10.35,10.06
19-Jun,6.75,332875.6605,72709.18942,82.07300163,17.92699837,9.08,8.99,918057.7545,13250.57356,98.57720873,1.422791267,10.03,10.75,6843.495201,11.324,99.83480235,10.34,8.9
19-Jul,6.5,330382.4174,74759.14301,81.54740211,18.45259789,8.83,8.87,921552.6355,12820.89089,98.62786236,1.372137644,9.86,10.77,7197.946971,10.517,99.85410207,10.22,9.48
19-Aug,6.5,335357.8913,73487.76543,82.02554822,17.97445178,8.82,8.63,925961.8459,12905.9024,98.62537589,1.374624107,9.82,10.74,7290.374332,160.785,97.84214787,10.24,9.75
19-Sep,6.5,334115.3017,76078.67653,81.45300015,18.54699985,8.83,8.49,928668.2357,12850.01415,98.63518162,1.364818383,9.81,10.76,8005.179466,187.72,97.70874767,10.18,9.65
19-Oct,6.5,337051.9285,75158.6327,81.76693181,18.23306819,8.8,8.27,932448.0916,13005.08642,98.62446002,1.375539977,9.77,10.75,7435.659542,5.38,99.92769827,10.16,10.17
19-Nov,6.5,342106.743,75168.95595,81.98578155,18.01421845,8.86,8.16,934635.8528,12800.68756,98.64891346,1.351086539,9.8,10.74,7527.215523,14.93,99.80204572,10.07,9.88
19-Dec,6.5,344926.6813,76222.59885,81.90128716,18.09871284,8.81,8.32,934255.3252,12922.644,98.63566886,1.364331141,9.79,10.72,6580.046771,12.165,99.81546406,10.05,10.02
20-Jan,6.25,344470.8416,75608.75087,82.00132731,17.99867269,8.66,8.64,934237.4637,12830.24379,98.64526647,1.35473353,9.61,10.67,6890.818438,7.9,99.88548598,9.99,9.51
20-Feb,6.25,345958.9188,76814.27626,81.83085466,18.16914534,8.64,8.93,939690.4724,12059.36386,98.73292714,1.267072859,9.74,10.72,7347.724063,9.689,99.86830969,9.81,9.86
20-Mar,5.25,349948.0971,76199.1844,82.11904952,17.88095048,7.87,9.13,940228.8001,12561.40322,98.68161919,1.318380812,8.73,10.43,7290.953343,131.663,98.22619149,8.52,11.47
20-Apr,4.25,368231.0431,61560.67997,85.67662506,14.32337494,7.05,8.54,933191.1301,13174.04448,98.60793224,1.392067759,7.69,10.25,208.4144314,12.514,94.33572224,7.71,9.26
20-May,3.75,366082.3606,61645.38664,85.58770456,14.41229544,6.6,8.05,931289.6435,12822.96292,98.6417973,1.358202701,7.14,10.1,700.3407611,13.465,98.11363248,7.07,8.99
20-Jun,3.75,355746.491,76840.73574,82.23693836,17.76306164,6.52,7.98,929899.9094,12668.95159,98.65591236,1.344087643,7.03,10,2071.116561,13.58,99.34858625,7.04,8.97
20-Jul,3.5,357207.7924,78501.6301,81.98303134,18.01696866,6.26,7.8,930756.427,12700.12788,98.65387253,1.346127472,6.85,9.85,3352.123114,14.557,99.56761559,6.81,7.9
20-Aug,3.5,356430.9934,80640.78145,81.54976229,18.45023771,6.22,7.6,935394.5687,12816.02074,98.64839932,1.351600676,6.8,9.74,4319.773501,9.491,99.78077108,6.85,8.19
20-Sep,3.5,356870.7506,79957.53907,81.69588807,18.30411193,6.2,7.51,940118.7488,12726.84764,98.66433264,1.335667362,6.81,9.33,5665.113896,1010.781,84.85924336,6.8,7.28
20-Oct,3.5,357371.5607,82091.73413,81.32000213,18.67999787,6.16,7.48,941700.6495,13209.27088,98.6166998,1.383300204,6.81,9.28,6044.607533,34.168,99.43791312,6.82,7.48
20-Nov,3.5,356580.0679,82713.45877,81.17125481,18.82874519,6.17,7.63,944067.737,13109.01368,98.63045005,1.369549947,6.81,9.16,5787.856694,37.607,99.35443766,6.83,7.68
20-Dec,3.5,359405.2829,81685.88211,81.48095256,18.51904744,6.18,7.6,954379.4018,13078.12213,98.64819676,1.351803237,6.83,9.1,5891.972072,30.926,99.47785696,6.81,7.44
21-Jan,3.5,357862.1137,81797.56473,81.39525439,18.60474561,6.18,7.6,960111.917,12713.54142,98.69313233,1.306867672,6.81,8.95,9325.355145,11.639,99.87534532,6.92,7.91
21-Feb,3.5,358133.3556,80658.51071,81.6180479,18.3819521,6.19,7.62,965059.3124,12734.20298,98.69765929,1.302340707,6.82,8.9,11159.60678,34.788,99.68923733,6.96,7.44
21-Mar,3.5,356893.0595,80536.09549,81.58876824,18.41123176,6.23,7.62,971716.8772,12504.79314,98.72947391,1.270526093,6.85,8.82,12425.19601,30.888,99.75202479,6.98,7.59
21-Apr,3.5,356227.3504,80871.32854,81.49815307,18.50184693,6.21,7.56,979139.6665,13220.94843,98.66772741,1.332272586,6.81,8.83,11198.55114,13.515,99.87946022,6.9,7.22
21-May,3.5,355277.3465,80855.87584,81.46073913,18.53926087,6.22,7.54,985077.2223,13038.30806,98.69370753,1.306292474,6.79,8.73,12382.46124,26.749,99.78444237,6.91,7.22
21-Jun,3.5,356398.8458,82637.82536,81.1774663,18.8225337,6.54,7.45,989309.5112,12884.31806,98.71438861,1.285611394,6.78,8.68,9804.394905,20.35,99.79286994,6.86,7.19
21-Jul,3.5,358906.6615,82905.02361,81.23521255,18.76478745,6.57,7.42,994021.797,12508.83734,98.75723233,1.242767672,6.84,8.65,11485.21236,25.861,99.77533807,6.89,6.94
21-Aug,3.5,358147.3454,83112.34279,81.16475513,18.83524487,6.56,7.43,1001630.109,12461.53728,98.77116261,1.228837386,6.83,8.57,13063.91808,30.931,99.76379262,6.78,7.16
21-Sep,3.5,360078.9608,83195.19452,81.23166137,18.76833863,6.54,7.4,1007162.212,12506.95163,98.77343043,1.226569566,6.78,8.53,12976.51011,29.044,99.77668003,6.8,6.97
21-Oct,3.5,359913.1584,82269.74973,81.39463371,18.60536629,6.57,7.4,1014110.671,12585.56172,98.7741689,1.2258311,6.85,8.5,12930.62364,20.512,99.84162007,6.92,7.21
21-Nov,3.75,360816.7755,82198.67474,81.44564152,18.55435848,6.72,7.36,1022741.52,12535.28384,98.78918529,1.210814711,6.96,8.53,12532.00854,19.986,99.84077431,6.91,7.11
21-Dec,3.75,355394.7787,82357.26497,81.18632085,18.81367915,6.78,7.39,1052623.337,12372.03724,98.83830132,1.161698683,7.14,8.51,12809.95209,21.401,99.83321323,7.09,7.05
22-Jan,4,354168.9629,81035.35925,81.37992774,18.62007226,6.9,7.52,1058769.446,12507.12996,98.83250225,1.167497754,7.18,8.52,10331.84298,11.586,99.88798686,7.09,6.51
22-Feb,4,355237.888,78654.55212,81.87233866,18.12766134,6.97,7.63,1068240.709,12216.31594,98.8693381,1.130661901,7.18,8.49,11864.38579,28.134,99.76343113,6.97,7.06
22-Mar,4.25,357370.5519,79654.43022,81.77348356,18.22651644,7.24,7.66,1071593.847,12469.51758,98.84974274,1.150257263,7.48,8.59,14432.12234,39.307,99.72838205,7.37,7.03
22-Apr,4.25,359939.4531,79704.79617,81.87061555,18.12938445,7.26,7.7,1075836.878,12579.0428,98.84427979,1.155720213,7.59,8.56,11718.41264,13.103,99.8883094,7.4,7.53
22-May,4.75,358763.5336,83914.92814,81.04381953,18.95618047,7.66,7.72,1082002.609,12928.17123,98.81927045,1.180729547,7.88,8.62,12823.41728,26.641,99.79267798,7.78,7.33
22-Jun,4.75,362191.5587,84586.15904,81.06750725,18.93249275,7.74,7.82,1087742.463,13306.65041,98.79145714,1.208542856,8,8.59,12612.98197,22.534,99.82166142,7.89,7.54
22-Jul,5.5,362270.3718,84876.9256,81.01812846,18.98187154,8.29,8.07,1092513.513,13539.02185,98.77591512,1.224084881,8.5,8.76,13033.02064,36.035,99.72427235,8.27,6.96
22-Aug,5.5,368495.4131,84441.19367,81.35695097,18.64304903,8.48,8.08,1098035.45,13498.83999,98.78556693,1.214433069,8.75,8.7,13833.27125,23.34,99.83156055,8.73,7.3
22-Sep,6.25,372782.6848,83079.62091,81.77528173,18.22471827,9.02,8.43,1099343.136,14490.81158,98.69901509,1.30098491,9.16,9,13221.26812,33.986,99.74360356,8.91,8.01
22-Oct,6.25,372696.2975,82892.87874,81.80534502,18.19465498,9.22,8.62,1101971.952,15196.00658,98.63977422,1.36022578,9.53,9.08,12289.15348,14.704,99.88049276,9.44,7.91
22-Nov,7,375385.0634,86350.18081,81.29876766,18.70123234,9.73,8.83,1108660.248,16051.26036,98.57285533,1.427144672,9.88,9.28,14360.85806,39.515,99.72559739,9.58,8.61
22-Dec,7,376432.0858,86496.73758,81.31532685,18.68467315,9.99,9.05,1111070.387,16617.46974,98.52641228,1.473587716,10.28,9.27,13319.09878,31.747,99.76220982,10.11,9.09
23-Jan,7.25,377255.0479,85955.42796,81.44354836,18.55645164,10.48,9.4,1111012.553,17621.14571,98.4387188,1.561281196,10.41,9.54,10454.94165,11.911,99.88620266,10.16,6.5
23-Feb,7.25,380793.4095,86099.3589,81.55907208,18.44092792,10.58,9.46,1119106.293,18244.86601,98.39584583,1.604154167,10.52,9.48,8780.076877,18.291,99.79210917,10.11,9.9
23-Mar,7.75,382382.9833,84297.42571,81.93679784,18.06320216,10.61,9.49,1120060.96,18649.90657,98.36219122,1.637808781,10.72,9.61,9748.585706,12.878,99.86807306,10.3,10.62
23-Apr,7.75,382511.613,84028.72342,81.98896926,18.01103074,10.69,9.6,1122242.723,19053.93402,98.3305012,1.669498802,10.9,9.64,6418.484593,11.309,99.82411566,10.69,10.3
23-May,8.25,385834.1572,83623.58165,82.18719712,17.81280288,10.97,9.8,1124707.475,19456.17899,98.29952831,1.700471687,11.29,9.83,9261.653175,18.864,99.79673547,10.96,10.74
23-Jun,8.25,390379.7795,82264.86369,82.59477498,17.40522502,11.09,10.03,1128290.788,19866.5958,98.26969751,1.73030249,11.47,9.96,8977.530836,12.294,99.86324539,11.22,12.02
23-Jul,8.25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
23-Aug,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None